xs_data,xs_info
"{'ĐB': '62557', 'G1': '41211', 'G2': '58893 44992', 'G3': '27387 26552 70599,15319 09578 66872', 'G4': '2999 7056 8545 4867', 'G5': '8145 3967 5949,2832 1472 7114', 'G6': '282 246 571', 'G7': '56 40 93 59'}","Thứ 3,ngày 01/09"
{None: ''},"[None, 'ngày 2/9']"
"{'ĐB': '45148', 'G1': '97339', 'G2': '16906 46858', 'G3': '78858 73559 45336,40394 38321 43575', 'G4': '7691 7730 7598 4346', 'G5': '9866 8170 8474,3442 0733 7302', 'G6': '237 389 026', 'G7': '00 66 95 71'}","Thứ 4,ngày 02/09"
"{'ĐB': '80180', 'G1': '01877', 'G2': '35594 24534', 'G3': '98521 55161 02193,84549 90436 59598', 'G4': '7283 3897 4382 3869', 'G5': '8097 3369 8788,7382 4231 8821', 'G6': '138 048 154', 'G7': '96 41 59 83'}","Thứ 5,ngày 03/09"
"{'ĐB': '01993', 'G1': '03278', 'G2': '51213 94865', 'G3': '69768 45041 35796,12715 79312 71401', 'G4': '3493 6320 8856 5698', 'G5': '5654 0856 4466,1100 8872 0251', 'G6': '725 995 284', 'G7': '95 98 60 58'}","Chủ Nhật,ngày 06/09"
"{'ĐB': '22022', 'G1': '53249', 'G2': '12116 21873', 'G3': '73594 75334 35205,23355 08743 18255', 'G4': '4757 1591 8512 8391', 'G5': '1817 1409 3198,0564 3655 6933', 'G6': '591 558 069', 'G7': '85 56 31 83'}","Thứ 3,ngày 08/09"
"{'ĐB': '52085', 'G1': '00030', 'G2': '56742 42861', 'G3': '24524 25873 36114,08961 14219 82341', 'G4': '6870 4444 1431 2402', 'G5': '8092 9813 1203,4066 5657 3774', 'G6': '199 134 127', 'G7': '70 23 25 00'}","Thứ 7,ngày 05/09"
"{'ĐB': '13853', 'G1': '50752', 'G2': '61125 92255', 'G3': '98715 29861 29848,61654 50452 62411', 'G4': '1769 3992 2193 5003', 'G5': '0994 2275 2235,3255 0591 1643', 'G6': '738 761 537', 'G7': '62 23 09 49'}","Thứ 2,ngày 07/09"
"{'ĐB': '15580', 'G1': '79107', 'G2': '73712 42181', 'G3': '30283 55284 76464,61810 11075 34179', 'G4': '6011 7452 6842 5634', 'G5': '4401 4280 7342,0891 5561 5483', 'G6': '352 765 525', 'G7': '49 34 00 86'}","Thứ 6,ngày 04/09"
"{'ĐB': '81320', 'G1': '66553', 'G2': '90953 75895', 'G3': '87507 18033 11282,88242 46819 07775', 'G4': '9593 9428 1904 9487', 'G5': '3506 4441 8894,8916 3909 4570', 'G6': '502 305 640', 'G7': '09 04 40 07'}","Thứ 5,ngày 10/09"
"{'ĐB': '16129', 'G1': '69128', 'G2': '72785 45940', 'G3': '47968 02595 58656,70605 58152 19991', 'G4': '6289 8521 9068 3779', 'G5': '4851 8648 2493,6781 5634 2321', 'G6': '425 593 454', 'G7': '32 55 53 13'}","Thứ 6,ngày 11/09"
{None: ''},"[None, 'ngày 9/8']"
{None: ''},"[None, 'ngày 9/8']"
"{'ĐB': '20290', 'G1': '28162', 'G2': '39930 04541', 'G3': '12820 49798 74603,74480 79568 99474', 'G4': '2797 7212 6076 9436', 'G5': '5840 4233 8930,4212 1688 0937', 'G6': '299 612 363', 'G7': '01 23 53 45'}","Thứ 6,ngày 18/09"
"{'ĐB': '32489', 'G1': '32685', 'G2': '87995 85227', 'G3': '15963 75101 22878,21787 99293 03017', 'G4': '6859 6231 5609 0233', 'G5': '4382 5185 4679,8089 2639 4762', 'G6': '064 138 931', 'G7': '61 43 88 35'}","Thứ 2,ngày 14/09"
"{'ĐB': '32489', 'G1': '32685', 'G2': '87995 85227', 'G3': '15963 75101 22878,21787 99293 03017', 'G4': '6859 6231 5609 0233', 'G5': '4382 5185 4679,8089 2639 4762', 'G6': '064 138 931', 'G7': '61 43 88 35'}","Thứ 2,ngày 14/09"
"{'ĐB': '89582', 'G1': '71120', 'G2': '80529 90561', 'G3': '35792 49983 73121,75011 34640 24493', 'G4': '4352 1487 1574 2359', 'G5': '2433 3919 3388,3394 4554 3240', 'G6': '986 043 151', 'G7': '33 97 12 32'}","Thứ 4,ngày 16/09"
"{'ĐB': '04170', 'G1': '71985', 'G2': '43509 16141', 'G3': '58831 80153 35981,30730 83764 91048', 'G4': '0914 1931 7961 1276', 'G5': '8042 2306 1138,3873 3697 4669', 'G6': '496 256 878', 'G7': '60 34 96 28'}","Thứ 5,ngày 17/09"
"{'ĐB': '54004', 'G1': '72588', 'G2': '90168 50167', 'G3': '32779 20782 72573,44493 04989 54543', 'G4': '2253 7024 2513 3108', 'G5': '1253 7713 8686,2592 2236 7094', 'G6': '586 478 322', 'G7': '95 31 14 68'}","Thứ 7,ngày 19/09"
"{'ĐB': '05042', 'G1': '66900', 'G2': '03482 31797', 'G3': '17931 53457 36521,54749 11897 26393', 'G4': '0057 0505 1535 7952', 'G5': '1079 8970 6887,6497 9606 1522', 'G6': '827 732 174', 'G7': '54 06 81 61'}","Chủ Nhật,ngày 20/09"
"{'ĐB': '68757', 'G1': '12181', 'G2': '13951 12884', 'G3': '08419 69298 11237,87495 28647 58511', 'G4': '6564 9713 9454 7696', 'G5': '2374 4864 1502,0836 4747 8317', 'G6': '839 691 363', 'G7': '29 35 21 49'}","Thứ 2,ngày 21/09"
{None: ''},"[None, 'ngày 26/4']"
"{'ĐB': '97711', 'G1': '12267', 'G2': '16032 77137', 'G3': '81737 72642 89269,84036 78487 52367', 'G4': '1831 7410 8361 6474', 'G5': '1620 6218 1693,1963 1311 0526', 'G6': '151 741 001', 'G7': '35 42 99 86'}","Thứ 4,ngày 23/09"
"{'ĐB': '20801', 'G1': '81210', 'G2': '29213 13446', 'G3': '89710 45219 67079,37130 12648 05252', 'G4': '2130 2882 0150 6053', 'G5': '1597 8324 4400,7899 2134 7496', 'G6': '460 982 901', 'G7': '66 57 18 69'}","Thứ 7,ngày 26/09"
"{'ĐB': '88000', 'G1': '06019', 'G2': '12893 98827', 'G3': '18211 96320 20202,98093 87179 00716', 'G4': '4137 2333 8323 6440', 'G5': '7233 6610 6890,5224 4289 6097', 'G6': '520 788 636', 'G7': '24 14 68 90'}","Thứ 4,ngày 09/09"
"{'ĐB': '37546', 'G1': '25331', 'G2': '51459 66569', 'G3': '17658 63664 80596,92652 22208 97413', 'G4': '8520 8450 7211 2340', 'G5': '7971 5091 6973,0286 2373 9878', 'G6': '116 068 630', 'G7': '86 44 17 33'}","Chủ Nhật,ngày 27/09"
"{'ĐB': '96331', 'G1': '53485', 'G2': '55959 13496', 'G3': '26088 63136 05285,23649 17176 19790', 'G4': '1957 3708 4458 1599', 'G5': '6982 2221 9456,2549 3116 6304', 'G6': '423 238 678', 'G7': '38 84 98 39'}","Thứ 2,ngày 28/09"
"{'ĐB': '10676', 'G1': '86295', 'G2': '05069 04999', 'G3': '99344 69011 19745,52465 88708 22792', 'G4': '5082 6749 4377 9508', 'G5': '2882 7999 8705,6962 6971 3666', 'G6': '221 107 086', 'G7': '10 56 62 07'}","Thứ 7,ngày 01/01"
"{'ĐB': '59323', 'G1': '12312', 'G2': '58611 02021', 'G3': '14381 85133 78198,45491 32380 54197', 'G4': '0748 5768 4410 3042', 'G5': '3128 3797 9060,3483 4494 6872', 'G6': '400 339 789', 'G7': '19 36 93 42'}","Thứ 3,ngày 29/09"
xs_data,xs_info
"{'ĐB': '62557', 'G1': '41211', 'G2': '58893 44992', 'G3': '27387 26552 70599,15319 09578 66872', 'G4': '2999 7056 8545 4867', 'G5': '8145 3967 5949,2832 1472 7114', 'G6': '282 246 571', 'G7': '56 40 93 59'}","Thứ 3,ngày 01/09"
"{'ĐB': '88000', 'G1': '06019', 'G2': '12893 98827', 'G3': '18211 96320 20202,98093 87179 00716', 'G4': '4137 2333 8323 6440', 'G5': '7233 6610 6890,5224 4289 6097', 'G6': '520 788 636', 'G7': '24 14 68 90'}","Thứ 4,ngày 09/09"
"{'ĐB': '13853', 'G1': '50752', 'G2': '61125 92255', 'G3': '98715 29861 29848,61654 50452 62411', 'G4': '1769 3992 2193 5003', 'G5': '0994 2275 2235,3255 0591 1643', 'G6': '738 761 537', 'G7': '62 23 09 49'}","Thứ 2,ngày 07/09"
"{'ĐB': '15580', 'G1': '79107', 'G2': '73712 42181', 'G3': '30283 55284 76464,61810 11075 34179', 'G4': '6011 7452 6842 5634', 'G5': '4401 4280 7342,0891 5561 5483', 'G6': '352 765 525', 'G7': '49 34 00 86'}","Thứ 6,ngày 04/09"
"{'ĐB': '80180', 'G1': '01877', 'G2': '35594 24534', 'G3': '98521 55161 02193,84549 90436 59598', 'G4': '7283 3897 4382 3869', 'G5': '8097 3369 8788,7382 4231 8821', 'G6': '138 048 154', 'G7': '96 41 59 83'}","Thứ 5,ngày 03/09"
"{'ĐB': '45148', 'G1': '97339', 'G2': '16906 46858', 'G3': '78858 73559 45336,40394 38321 43575', 'G4': '7691 7730 7598 4346', 'G5': '9866 8170 8474,3442 0733 7302', 'G6': '237 389 026', 'G7': '00 66 95 71'}","Thứ 4,ngày 02/09"
"{'ĐB': '01993', 'G1': '03278', 'G2': '51213 94865', 'G3': '69768 45041 35796,12715 79312 71401', 'G4': '3493 6320 8856 5698', 'G5': '5654 0856 4466,1100 8872 0251', 'G6': '725 995 284', 'G7': '95 98 60 58'}","Chủ Nhật,ngày 06/09"
"{'ĐB': '81320', 'G1': '66553', 'G2': '90953 75895', 'G3': '87507 18033 11282,88242 46819 07775', 'G4': '9593 9428 1904 9487', 'G5': '3506 4441 8894,8916 3909 4570', 'G6': '502 305 640', 'G7': '09 04 40 07'}","Thứ 5,ngày 10/09"
"{'ĐB': '52085', 'G1': '00030', 'G2': '56742 42861', 'G3': '24524 25873 36114,08961 14219 82341', 'G4': '6870 4444 1431 2402', 'G5': '8092 9813 1203,4066 5657 3774', 'G6': '199 134 127', 'G7': '70 23 25 00'}","Thứ 7,ngày 05/09"
"{'ĐB': '22022', 'G1': '53249', 'G2': '12116 21873', 'G3': '73594 75334 35205,23355 08743 18255', 'G4': '4757 1591 8512 8391', 'G5': '1817 1409 3198,0564 3655 6933', 'G6': '591 558 069', 'G7': '85 56 31 83'}","Thứ 3,ngày 08/09"
"{'ĐB': '16129', 'G1': '69128', 'G2': '72785 45940', 'G3': '47968 02595 58656,70605 58152 19991', 'G4': '6289 8521 9068 3779', 'G5': '4851 8648 2493,6781 5634 2321', 'G6': '425 593 454', 'G7': '32 55 53 13'}","Thứ 6,ngày 11/09"
"{'ĐB': '51880', 'G1': '88005', 'G2': '25771 26029', 'G3': '34257 84661 38552,36118 32450 49503', 'G4': '4932 0114 8251 1821', 'G5': '9461 1024 6778,8797 5980 8173', 'G6': '457 287 953', 'G7': '84 04 19 61'}","Thứ 7,ngày 12/09"
"{'ĐB': '54004', 'G1': '72588', 'G2': '90168 50167', 'G3': '32779 20782 72573,44493 04989 54543', 'G4': '2253 7024 2513 3108', 'G5': '1253 7713 8686,2592 2236 7094', 'G6': '586 478 322', 'G7': '95 31 14 68'}","Thứ 7,ngày 19/09"
"{'ĐB': '28463', 'G1': '11841', 'G2': '65265 03892', 'G3': '41161 37992 64523,49239 21899 58599', 'G4': '2635 7284 3108 4778', 'G5': '6204 8680 0148,4644 9601 1494', 'G6': '840 124 015', 'G7': '50 29 64 01'}","Chủ Nhật,ngày 13/09"
"{'ĐB': '23030', 'G1': '91709', 'G2': '85782 29769', 'G3': '50289 02032 55341,84037 50453 54763', 'G4': '4521 2118 0952 5967', 'G5': '2611 9343 3439,4487 2006 1729', 'G6': '511 959 654', 'G7': '18 35 08 52'}","Thứ 3,ngày 15/09"
"{'ĐB': '32489', 'G1': '32685', 'G2': '87995 85227', 'G3': '15963 75101 22878,21787 99293 03017', 'G4': '6859 6231 5609 0233', 'G5': '4382 5185 4679,8089 2639 4762', 'G6': '064 138 931', 'G7': '61 43 88 35'}","Thứ 2,ngày 14/09"
"{'ĐB': '89582', 'G1': '71120', 'G2': '80529 90561', 'G3': '35792 49983 73121,75011 34640 24493', 'G4': '4352 1487 1574 2359', 'G5': '2433 3919 3388,3394 4554 3240', 'G6': '986 043 151', 'G7': '33 97 12 32'}","Thứ 4,ngày 16/09"
"{'ĐB': '04170', 'G1': '71985', 'G2': '43509 16141', 'G3': '58831 80153 35981,30730 83764 91048', 'G4': '0914 1931 7961 1276', 'G5': '8042 2306 1138,3873 3697 4669', 'G6': '496 256 878', 'G7': '60 34 96 28'}","Thứ 5,ngày 17/09"
"{'ĐB': '05042', 'G1': '66900', 'G2': '03482 31797', 'G3': '17931 53457 36521,54749 11897 26393', 'G4': '0057 0505 1535 7952', 'G5': '1079 8970 6887,6497 9606 1522', 'G6': '827 732 174', 'G7': '54 06 81 61'}","Chủ Nhật,ngày 20/09"
"{'ĐB': '20290', 'G1': '28162', 'G2': '39930 04541', 'G3': '12820 49798 74603,74480 79568 99474', 'G4': '2797 7212 6076 9436', 'G5': '5840 4233 8930,4212 1688 0937', 'G6': '299 612 363', 'G7': '01 23 53 45'}","Thứ 6,ngày 18/09"
"{'ĐB': '68757', 'G1': '12181', 'G2': '13951 12884', 'G3': '08419 69298 11237,87495 28647 58511', 'G4': '6564 9713 9454 7696', 'G5': '2374 4864 1502,0836 4747 8317', 'G6': '839 691 363', 'G7': '29 35 21 49'}","Thứ 2,ngày 21/09"
"{'ĐB': '87082', 'G1': '76056', 'G2': '80203 89491', 'G3': '12192 24493 66130,10791 57269 23850', 'G4': '9267 3392 6448 2186', 'G5': '6469 1667 7674,7842 3543 0005', 'G6': '480 305 679', 'G7': '66 61 99 84'}","Thứ 5,ngày 24/09"
"{'ĐB': '17069', 'G1': '46324', 'G2': '45753 22997', 'G3': '77805 36735 81728,84286 64764 49715', 'G4': '3988 1685 7168 4074', 'G5': '7315 9750 7729,2384 9783 6113', 'G6': '091 083 834', 'G7': '51 22 76 79'}","Thứ 7,ngày 26/09"
"{'ĐB': '87486', 'G1': '91069', 'G2': '65300 14647', 'G3': '04126 79476 78861,75217 65897 49586', 'G4': '1687 5488 3167 3158', 'G5': '5874 9738 5945,5309 4693 8233', 'G6': '384 090 746', 'G7': '06 25 86 80'}","Thứ 3,ngày 22/09"
"{'ĐB': '97711', 'G1': '12267', 'G2': '16032 77137', 'G3': '81737 72642 89269,84036 78487 52367', 'G4': '1831 7410 8361 6474', 'G5': '1620 6218 1693,1963 1311 0526', 'G6': '151 741 001', 'G7': '35 42 99 86'}","Thứ 4,ngày 23/09"
"{'ĐB': '98018', 'G1': '47391', 'G2': '46411 34513', 'G3': '02594 91533 20134,73795 31040 19707', 'G4': '6049 1001 4034 5340', 'G5': '0915 8701 5417,9493 1237 7007', 'G6': '672 078 318', 'G7': '02 77 78 65'}","Thứ 6,ngày 25/09"
{None: ''},"[None, 'ngày 13/3']"
"{'ĐB': '96331', 'G1': '53485', 'G2': '55959 13496', 'G3': '26088 63136 05285,23649 17176 19790', 'G4': '1957 3708 4458 1599', 'G5': '6982 2221 9456,2549 3116 6304', 'G6': '423 238 678', 'G7': '38 84 98 39'}","Thứ 2,ngày 28/09"
"{'ĐB': '59323', 'G1': '12312', 'G2': '58611 02021', 'G3': '14381 85133 78198,45491 32380 54197', 'G4': '0748 5768 4410 3042', 'G5': '3128 3797 9060,3483 4494 6872', 'G6': '400 339 789', 'G7': '19 36 93 42'}","Thứ 3,ngày 29/09"
